Vector,PAA Frames,APCA Frames,PAA Eu,APCA Eu,Eu Diff,PAA Dtw,APCA Dtw,Dtw Dif,PAA tik,APCA Tik,Tik Dif
214,42,21,5.4925,10.4394,-4.94686,376.16,218.899,157.261,322,23701,-23379
215,42,21,5.50701,13.7513,-8.24425,470.686,309.143,161.542,323,23754,-23431
216,42,21,5.93111,15.5532,-9.62213,456.16,333.915,122.245,322,22852,-22530
217,42,21,4.02979,7.98301,-3.95321,288.558,141.654,146.904,323,23704,-23381
218,42,21,4.26945,18.3562,-14.0867,345.605,302.155,43.4504,322,23236,-22914
219,42,21,4.88819,13.133,-8.24478,417.124,284.112,133.012,331,23139,-22808
220,42,21,5.6843,20.2719,-14.5876,509.554,409.988,99.5664,323,23058,-22735
221,42,21,5.71063,13.0607,-7.35007,434.819,285.713,149.106,331,24759,-24428
222,42,21,4.50109,10.7363,-6.2352,366.015,207.394,158.62,407,23563,-23156
223,42,21,5.44957,17.186,-11.7364,448.98,331.44,117.54,347,23558,-23211
224,42,21,6.65695,10.6217,-3.96476,411.059,228.104,182.955,357,23991,-23634
225,42,21,6.71424,16.6257,-9.91149,435.588,296.121,139.467,378,23041,-22663
226,42,21,5.47478,18.0404,-12.5656,392.004,304.063,87.9413,324,22979,-22655
227,42,21,7.12272,16.0964,-8.97366,531.597,344.502,187.095,343,23090,-22747
228,42,21,5.99122,8.50774,-2.51653,363.284,181.588,181.695,340,23791,-23451
229,42,21,6.0499,18.4788,-12.4289,452.527,332.896,119.631,350,23598,-23248
230,42,21,5.85469,15.5287,-9.67399,547,366.814,180.186,322,23176,-22854
231,42,21,6.01176,14.1505,-8.13878,509.908,326.347,183.561,323,23687,-23364
232,42,21,7.18927,23.0414,-15.8521,577.506,494.735,82.771,324,25019,-24695
233,42,21,6.19675,18.311,-12.1142,442.865,313.707,129.159,323,22705,-22382
234,42,21,4.83846,19.0686,-14.2301,400.998,371.185,29.8124,332,23076,-22744
235,42,21,6.60052,12.9591,-6.35855,504.216,298.036,206.18,323,22877,-22554
236,42,21,6.80328,15.804,-9.00068,455.949,272.366,183.582,344,24895,-24551
237,42,21,5.28414,12.7793,-7.49511,445.434,264.38,181.054,323,23554,-23231
238,42,21,8.9962,13.0733,-4.07706,547.226,314.865,232.361,323,23144,-22821
239,42,21,6.96362,18.9039,-11.9403,585.775,415.637,170.138,330,22892,-22562
240,42,21,4.58258,7.75952,-3.17694,307.706,179.875,127.831,341,24520,-24179
241,42,21,6.66296,15.8849,-9.22195,482.132,349.437,132.695,344,24266,-23922
242,42,21,5.38527,14.1013,-8.71606,456.215,310.917,145.298,328,23400,-23072
243,42,21,4.64293,9.97319,-5.33026,312.094,181.519,130.575,356,24050,-23694
244,42,21,6.36307,16.7236,-10.3605,501.334,357.603,143.731,324,24402,-24078
245,42,21,5.90612,17.1682,-11.262,448.926,320.425,128.501,323,22601,-22278
246,42,21,6.47521,14.7743,-8.29911,448.908,279.131,169.777,503,22930,-22427
247,42,21,3.87896,7.99879,-4.11983,277.008,152.023,124.985,350,22742,-22392
248,42,21,5.77951,15.066,-9.28652,407.215,290.638,116.577,323,23121,-22798
249,42,21,7.39583,12.5918,-5.19599,572.624,297.479,275.145,327,23822,-23495
250,42,21,6.81225,17.4126,-10.6003,454.776,329.864,124.911,332,23487,-23155
251,42,21,5.73924,11.3895,-5.65024,480.333,261.724,218.609,322,23048,-22726
252,42,21,4.21998,12.0148,-7.79478,371.56,244.034,127.526,323,24224,-23901
253,42,21,5.4653,13.8855,-8.42018,457.552,287.953,169.6,333,23231,-22898
254,42,21,5.41424,26.4011,-20.9869,422.497,487.879,-65.3824,326,24378,-24052
255,42,21,6.71868,17.8043,-11.0857,560.49,370.398,190.091,342,23860,-23518
256,42,21,6.35959,18.1653,-11.8057,517.015,366.126,150.888,460,29917,-29457
257,42,21,4.84553,14.4841,-9.63854,413.592,276.555,137.037,363,26304,-25941
258,42,21,6.28876,12.5339,-6.2451,455.695,272.056,183.639,340,24845,-24505
259,42,21,5.94191,12.597,-6.6551,520.834,288.377,232.456,323,25087,-24764
260,42,21,5.85688,18.122,-12.2651,524.433,385.686,138.748,423,24431,-24008
261,42,21,5.16708,20.0705,-14.9034,407.339,350.291,57.0481,347,22898,-22551
262,42,21,5.41946,12.5754,-7.1559,315.43,236.446,78.9843,323,22759,-22436
263,42,21,7.28658,21.4354,-14.1488,520.11,413.844,106.266,323,22954,-22631
264,42,21,6.22819,16.46,-10.2318,570.14,383.227,186.913,323,25174,-24851
265,42,21,9.69508,12.8996,-3.20451,553.353,296.431,256.922,333,23576,-23243
266,42,21,4.81949,10.1754,-5.35594,401.29,231.72,169.57,333,23330,-22997
267,42,21,8.79163,18.1224,-9.33081,497.952,374.125,123.827,323,24027,-23704
268,42,21,6.5981,12.4678,-5.86971,413.719,272.095,141.624,362,23118,-22756
269,42,21,5.87587,9.30953,-3.43366,371.489,198.396,173.094,323,22763,-22440
270,42,21,6.20903,19.4811,-13.272,483.157,367.257,115.901,365,22748,-22383
271,42,21,5.86269,15.8889,-10.0263,426.917,299.426,127.491,323,22674,-22351
272,42,21,5.75499,6.41253,-0.657535,352.722,145.852,206.87,351,23430,-23079
273,42,21,5.11796,6.6843,-1.56635,333.759,153.956,179.803,322,22551,-22229
274,42,21,5.93935,14.9628,-9.02345,416.168,289.065,127.103,344,24373,-24029
275,42,21,5.41508,9.68506,-4.26998,500.811,239.703,261.108,323,23133,-22810
276,42,21,6.42195,12.0809,-5.65891,492.817,262.689,230.128,331,22478,-22147
277,42,21,4.87926,12.1316,-7.25234,323.173,203.456,119.717,342,23457,-23115
278,42,21,5.62223,12.8599,-7.23769,382.862,246.261,136.6,341,23904,-23563
279,42,21,4.60993,9.40443,-4.79449,277.824,187.749,90.0751,334,23392,-23058
280,42,21,8.69837,18.6825,-9.98412,483.471,373.22,110.251,402,23768,-23366
281,42,21,9.90569,12.0079,-2.10216,403.595,241.954,161.641,323,24460,-24137
282,42,21,6.07434,15.2318,-9.15741,420.946,294,126.946,333,23695,-23362
283,42,21,7.01705,19.7688,-12.7518,575.247,388.571,186.676,363,23949,-23586
284,42,21,4.58332,5.37887,-0.795544,285.203,123.695,161.507,324,22860,-22536
285,42,21,7.44132,19.1997,-11.7583,497.18,385.148,112.032,323,23423,-23100
286,42,21,5.40303,27.314,-21.9109,416.941,470.795,-53.8534,331,24292,-23961
287,42,21,6.73818,23.4128,-16.6746,538.85,490.331,48.5185,331,24007,-23676
288,42,21,8.82539,15.5346,-6.70916,535.362,350.711,184.651,343,23448,-23105
289,42,21,8.49903,17.2761,-8.77707,521.863,351.168,170.695,334,24965,-24631
290,42,21,6.07417,12.4166,-6.34244,525.096,296.478,228.618,322,24247,-23925
291,42,21,5.34288,9.25247,-3.90959,343.071,186.637,156.434,345,23773,-23428
292,42,21,9.27112,22.9387,-13.6676,555.026,494.033,60.9926,330,25087,-24757
293,42,21,5.32878,13.8649,-8.5361,408.124,260.521,147.603,323,23642,-23319
294,42,21,4.67772,12.1753,-7.49754,330.513,230.484,100.029,325,24580,-24255
295,42,21,3.57158,8.46623,-4.89464,330.337,199.116,131.221,345,23959,-23614
296,42,21,6.38875,11.8716,-5.48281,439.707,250.542,189.165,331,24054,-23723
297,42,21,6.26828,14.4915,-8.22317,474.606,331.296,143.31,323,24561,-24238
298,42,21,6.19914,16.5602,-10.361,512.333,320.671,191.663,341,24721,-24380
299,42,21,6.74163,22.7762,-16.0346,548.49,490.989,57.5016,338,23628,-23290
300,42,21,5.40525,9.18306,-3.7778,373.283,205.238,168.044,343,26439,-26096
301,42,21,5.84617,17.7766,-11.9304,414.21,310.72,103.49,331,22904,-22573
302,42,21,4.63934,13.0389,-8.39953,406.536,275.328,131.208,331,25030,-24699
303,42,21,5.02229,10.1168,-5.09455,397.964,230.301,167.663,323,22628,-22305
304,42,21,5.91937,14.0077,-8.0883,444.065,288.256,155.809,342,22553,-22211
305,42,21,6.16747,13.7373,-7.56982,476.836,278.437,198.399,358,24299,-23941
306,42,21,4.5552,9.31125,-4.75604,305.242,164.544,140.698,384,23354,-22970
307,42,21,5.7422,8.15,-2.4078,393.688,185.643,208.045,331,23620,-23289
308,42,21,8.12703,17.8578,-9.73079,585.82,398.691,187.129,322,23292,-22970
309,42,21,7.94083,17.8484,-9.90753,518.463,362.25,156.212,323,24148,-23825
310,42,21,5.5317,14.7755,-9.24382,385.406,307.767,77.6396,323,22775,-22452
311,42,21,7.03052,14.5007,-7.47022,513.02,314.567,198.453,323,23136,-22813
312,42,21,4.53681,21.2172,-16.6803,359.02,378.581,-19.5612,331,23222,-22891
313,42,21,6.40777,10.0716,-3.66386,451.977,225.234,226.742,323,24373,-24050
314,42,21,7.4436,20.116,-12.6724,503.509,398.251,105.258,325,24620,-24295
315,42,21,5.5028,12.3556,-6.85283,412.279,255.078,157.2,323,24012,-23689
316,42,21,5.42674,8.38921,-2.96247,383.967,202.181,181.786,322,22619,-22297
317,42,21,6.13494,13.8103,-7.67534,490.661,298.993,191.668,323,24342,-24019
318,42,21,5.92088,19.8672,-13.9463,535.312,432.02,103.292,322,22636,-22314
319,42,21,4.42001,17.2717,-12.8517,344.482,265.078,79.4042,332,24418,-24086
