Vector,PAA Frames,APCA Frames,PAA Eu,APCA Eu,Eu Diff,PAA Dtw,APCA Dtw,Dtw Dif,PAA tik,APCA Tik,Tik Dif
272,20,10,21.9871,22.2773,-0.290245,374.06,396.549,-22.4897,182,11686,-11504
273,20,10,22.0378,22.3458,-0.308008,380.767,395.249,-14.4819,183,10258,-10075
274,20,10,22.0479,22.3571,-0.309189,400.409,409.182,-8.77315,183,10705,-10522
275,20,10,22.2603,22.2941,-0.0337482,409.841,407.398,2.44252,185,11634,-11449
276,20,10,22.0222,22.3769,-0.35468,377.99,390.752,-12.7619,191,10393,-10202
277,20,10,22.1767,22.4439,-0.267239,403.781,405.511,-1.7299,175,10568,-10393
278,20,10,21.9798,22.3561,-0.376242,376.053,385.234,-9.1801,187,10697,-10510
279,20,10,22.0278,22.2486,-0.220832,387.096,394.163,-7.06706,182,12304,-12122
280,20,10,21.9872,22.4784,-0.491205,387.334,403.609,-16.2748,184,10922,-10738
281,20,10,22.2043,22.5076,-0.303294,402.257,406.7,-4.44305,175,10841,-10666
282,20,10,22.0736,22.3064,-0.232828,380.145,390.702,-10.5572,176,9387,-9211
283,20,10,22.3191,22.3006,0.0184154,431.472,430.242,1.22942,220,9624,-9404
284,20,10,22.1661,22.33,-0.16386,402.519,411.492,-8.97211,185,10127,-9942
285,20,10,22.292,22.2318,0.060119,407.104,404.708,2.39584,186,10231,-10045
286,20,10,22.1698,22.1801,-0.0103598,403.03,405.05,-2.02011,200,10457,-10257
287,20,10,21.9596,22.3774,-0.417764,393.402,408.754,-15.3516,180,9883,-9703
288,20,10,22.1017,22.2846,-0.182963,394.499,402.459,-7.96007,184,11933,-11749
289,20,10,21.9224,22.347,-0.424549,388.266,400.057,-11.7915,186,11077,-10891
290,20,10,21.9066,23.1134,-1.20678,384.548,391.846,-7.29723,205,11273,-11068
291,20,10,22.1347,22.302,-0.167296,381.698,382.67,-0.971991,177,10370,-10193
292,20,10,22.2401,22.5804,-0.340288,404.721,407.429,-2.70846,203,10316,-10113
293,20,10,22.1745,22.3236,-0.149108,390.085,403.192,-13.1066,328,19822,-19494
294,20,10,22.1358,22.4478,-0.312055,356.772,360.588,-3.81574,176,9496,-9320
295,20,10,22.019,22.9093,-0.890321,388.299,402.478,-14.1794,241,9595,-9354
296,20,10,22.1596,22.2469,-0.0873256,376.533,381.274,-4.74132,198,9564,-9366
297,20,10,22.2505,22.2947,-0.0441859,386.995,389.618,-2.62236,176,9384,-9208
298,20,10,22.1156,22.1791,-0.0635099,399.5,397.574,1.92581,175,9659,-9484
299,20,10,21.9698,22.4137,-0.443948,377.507,390.441,-12.9334,179,9422,-9243
300,20,10,22.1587,22.3561,-0.197432,391.493,403.02,-11.5266,176,10242,-10066
301,20,10,22.1291,22.437,-0.307957,402.091,409.501,-7.40981,175,9944,-9769
302,20,10,22.1038,22.1238,-0.0200453,394.948,403.306,-8.35776,195,9369,-9174
303,20,10,22.2004,21.8842,0.316246,347.211,322.709,24.5012,180,9311,-9131
